Sentence type,Sample
YES-NO-QUESTION,Can you cancel my order?
YES-NO-QUESTION,Could you please create a return?
YES-NO-QUESTION,Are you going to cancel it?
YES-NO-QUESTION,Am I logged in?
YES-NO-QUESTION,Is she Dutch?
YES-NO-QUESTION,Shall we start?
YES-NO-QUESTION,Can you swim?
YES-NO-QUESTION,Have you ever been to the NL?
YES-NO-QUESTION,Do you like playing guitar?
YES-NO-QUESTION,Are you hungry?
STATEMENT,"Me, I'm in the legal department"
STATEMENT,I want to buy a house
STATEMENT,You are a human
STATEMENT,I am a software developer
STATEMENT,I work for bol.com
STATEMENT,I work for coolblue
STATEMENT,We are a team
STATEMENT,You are my friend
THANKING,Thank you
THANKING,Thanks
THANKING,You are really kind
THANKING,I'm glad you did it
THANKING,I am glad you have done that
THANKING,Thank you so much.
THANKING,I appreciate your gesture
APOLOGY,I am sorry
APOLOGY,Pardon
APOLOGY,I'm sorry
APOLOGY,I feel bad
APOLOGY,I'm really sorry
APOLOGY,Excuse me
APOLOGY,I'm so sorry
OPINION,I think that's great
OPINION,I think you did a good job
OPINION,I don't think so
OPINION,In my opinion you are wrong
OPINION,The way I see that is bad
OPINION,In my point of view they are awesome
MAYBE/ACCEPT-PART,Maybe
MAYBE/ACCEPT-PART,I'm not sure about that
MAYBE/ACCEPT-PART,Perhaps
MAYBE/ACCEPT-PART,Maybe you are right
MAYBE/ACCEPT-PART,I may be able to do it
MAYBE/ACCEPT-PART,You might be correct
AGREEMENT/ACCEPT,I do
AGREEMENT/ACCEPT,Let's do it
AGREEMENT/ACCEPT,Yes
AGREEMENT/ACCEPT,I agree
AGREEMENT/ACCEPT,Of course
AGREEMENT/ACCEPT,"Yes, I do"
AGREEMENT/ACCEPT,Allright
AGREEMENT/ACCEPT,Right
AGREEMENT/ACCEPT,Ok
AGREEMENT/ACCEPT,I would love
AGREEMENT/ACCEPT,I'm good
APPRECIATION,I can imagine
APPRECIATION,I feel you
APPRECIATION,I feel your pain
APPRECIATION,I see your point
APPRECIATION,You are doing great
APPRECIATION,I understand what you are saying
YES-NO-QUESTION,Is the IPhone back in stock?
YES-NO-QUESTION,Can I pay with credit card?
YES-NO-QUESTION,Can I return my item?
YES-NO-QUESTION,Is it possible to change my address?
YES-NO-QUESTION,Is the sendingcost included?
YES-NO-QUESTION,Can I wait to pay my order?
YES ANSWERS,Yes
YES ANSWERS,"Yes, I do"
YES ANSWERS,"Yes, I think so"
YES ANSWERS,"Yes, I like it"
YES ANSWERS,"Yes, please"
YES ANSWERS,"Yes, I would love it"
YES ANSWERS,Yeah
YES ANSWERS,"Yes, I would be happy"
CONVENTIONAL-CLOSING,Goodbye
CONVENTIONAL-CLOSING,Bye
CONVENTIONAL-CLOSING,It's been nice talking to you
CONVENTIONAL-CLOSING,See you
CONVENTIONAL-CLOSING,It was a pleasure
CONVENTIONAL-CLOSING,See you next time
CONVENTIONAL-CLOSING,Talk to you
CONVENTIONAL-CLOSING,Until the next opportunity
WH-QUESTION,What time is it?
WH-QUESTION,When my package will be delivered?
WH-QUESTION,Where is my package?
WH-QUESTION,Which product is better?
WH-QUESTION,Who can help me with that?
WH-QUESTION,Can you tell me when the package arrives?
NO ANSWERS,No
NO ANSWERS,Noooooooo
NO ANSWERS,"No, I don't"
NO ANSWERS,"No, I would not"
NO ANSWERS,"No, I can't"
NO ANSWERS,"No, I would never"
NO ANSWERS,Nop
RESPONSE ACKNOWLEDGMENT,"Oh, okay"
RESPONSE ACKNOWLEDGMENT,All right
RESPONSE ACKNOWLEDGMENT,Okay then
RESPONSE ACKNOWLEDGMENT,Can be
RESPONSE ACKNOWLEDGMENT,I see
RESPONSE ACKNOWLEDGMENT,Good point
RESPONSE ACKNOWLEDGMENT,Ok
BACKCHANNEL-QUESTION,Are you sure?
BACKCHANNEL-QUESTION,Is it right?
BACKCHANNEL-QUESTION,Am I correct?
BACKCHANNEL-QUESTION,Should we do that then?
BACKCHANNEL-QUESTION,Is that okay?
SUMMARIZE/REFORMULATE,You mean you can't' cancel my order?
SUMMARIZE/REFORMULATE,You mean you can cancel my order
SUMMARIZE/REFORMULATE,"Oh, you mean that this product is good"
SUMMARIZE/REFORMULATE,"Okay, so you meant order number"
SUMMARIZE/REFORMULATE,Hm do you mean my receipt?
OPEN-QUESTION,How are you doing?
OPEN-QUESTION,What do you think about that?
OPEN-QUESTION,How about you?
OPEN-QUESTION,What can you do for me?
OPEN-QUESTION,How can you help me?
OPEN-QUESTION,Why would you do that?
REJECT,"Well, no"
REJECT,Never
REJECT,Hell no!
REJECT,No way
REJECT,I won't do that
REJECT,I can't do this
REJECT,I will not
REJECT,I would never say that
SIGNAL-NON-UNDERSTANDING,I don't know what you mean
SIGNAL-NON-UNDERSTANDING,I don't follow you
SIGNAL-NON-UNDERSTANDING,I didn't get
SIGNAL-NON-UNDERSTANDING,I don't get it
SIGNAL-NON-UNDERSTANDING,I am not following
SIGNAL-NON-UNDERSTANDING,?????
SIGNAL-NON-UNDERSTANDING,?!
SIGNAL-NON-UNDERSTANDING,You lost me
CONVENTIONAL-OPENING,Hello
CONVENTIONAL-OPENING,Hi
CONVENTIONAL-OPENING,Good morning
CONVENTIONAL-OPENING,Good afternoon
CONVENTIONAL-OPENING,Good evening
CONVENTIONAL-OPENING,Morning
CONVENTIONAL-OPENING,How are you doing?
"OFFERS, OPTIONS & COMMITS",I'll have to double check
"OFFERS, OPTIONS & COMMITS",Let me check
"OFFERS, OPTIONS & COMMITS",Wait a second
"OFFERS, OPTIONS & COMMITS",Just a second
"OFFERS, OPTIONS & COMMITS",Wait a minute
"OFFERS, OPTIONS & COMMITS",I'll get back to you
DECLARATIVE WH-QUESTION,Do you know what I mean?
DECLARATIVE WH-QUESTION,You know how many products I bought?
